gene,count,RPKM
AAC1,5349,165.20456350375258
AAC3,1504,46.752867806332056
AAD10,6257,207.290523333808
AAD14,881,22.3741061387363
AAD15,102,6.78185992447791
AAD16,339,21.213845576913602
AAD3,357,9.390267587738645
AAD4,1034,29.9997568423964
AAD6,646,29.037822775229362
AAH1,5139,141.38733530179303
AAP1,2185,24.410785533641402
AAR2,504,13.554755063860673
AAT1,1876,39.73795695467119
AAT2,9548,218.1772799963445
ABD1,2366,51.83754663501866
ABF1,4036,52.789945333062384
ABF2,7561,393.4346001711827
ABM1,189,14.593224201817742
ABP1,5752,92.86997310329595
ABP140,4407,67.04608927830691
ABZ1,2775,33.71692079503052
ABZ2,2297,58.64633316339109
ACA1,4359,85.17299614155834
ACB1,8973,976.2614294493094
ACC1,27838,119.30701979732439
ACE2,1803,22.389917040665914
ACF2,1626,19.95892169629155
ACF4,1176,36.3209135689686
ACH1,9692,176.0815797871367
ACK1,1966,30.165467446885906
ACM1,940,42.85679548913772
ACN9,1086,77.59543330623013
ACO1,35048,430.7615373551645
ACO2,3002,36.382683830140316
ACP1,6584,500.29989627745164
ACS1,3464,46.45054429736328
ACS2,8601,120.39376101224872
ACT1,37858,756.7166489624503
ADA2,712,15.67118625956437
ADD37,2394,115.18136086928844
ADD66,1291,46.121410864798854
ADE1,8929,278.46818439852814
ADE12,9459,208.6731787225911
ADE13,15597,309.17550381317346
ADE16,11932,192.97572166662263
ADE17,14068,227.13747941883997
ADE2,8072,135.11272721608972
ADE3,18326,185.28012668013992
ADE4,5928,111.07042421725811
"ADE5,7",16271,194.00362082985288
ADE6,10565,74.43225565730073
ADE8,2975,132.48284503631265
ADF1,0,0.0
ADH1,75287,2065.4072670183787
ADH2,855,23.45588499077814
ADH3,9606,244.60530576170765
ADH4,93180,2329.3517103837257
ADH5,4300,116.95988372428481
ADH6,3205,85.00255261379189
ADH7,556,14.70541742480228
ADI1,681,36.22311065544672
ADK1,17194,738.2155602731091
ADK2,720,30.50248295028066
ADO1,8973,251.9384334062734
ADP1,3491,31.83256873459144
ADR1,3977,28.759328508599946
ADY2,644,21.71094179634022
ADY3,670,8.109787133606366
ADY4,1168,22.637425268273965
AEP1,2001,36.91397948692362
AEP2,1369,22.55996655650969
AEP3,1360,21.45168213343919
AFG1,2415,45.33755492765163
AFG2,1854,22.72845064393832
AFG3,4961,62.33405666574323
AFI1,1145,12.262502350615408
AFR1,2258,34.81316216986899
AFT1,2400,33.25403351067742
AFT2,1593,36.57554924991388
AGA1,631,8.321543242285973
AGA2,147,15.993584099971969
AGC1,2720,28.839803001102077
AGE1,1438,28.50512114402407
AGE2,2009,64.33093805206117
AGP1,7293,110.13569366313023
AGP2,1654,26.52603326062421
AGP3,702,12.023653162959468
AGX1,2122,52.634343528468605
AHA1,6003,163.74662695481507
AHC1,3369,56.889103232035055
AHC2,4311,319.96277028097694
AHP1,27514,1488.3038401761532
AHT1,137,7.167713092794397
AI1,0,0.0
AI2,0,0.0
AI3,0,0.0
AI4,0,0.0
AI5_ALPHA,0,0.0
AI5_BETA,0,0.0
AIF1,806,20.36136867594299
AIM1,1140,91.72105167262265
AIM10,682,11.31669724170195
AIM11,692,40.64710560293364
AIM13,1601,89.64093076647376
AIM14,1263,21.177679821857875
AIM17,3160,64.92505133456257
AIM18,1990,59.170922541663316
AIM19,2259,136.8895449238624
AIM2,1318,51.0892577116183
AIM20,1242,58.00679501544836
AIM21,3326,46.83003344390352
AIM22,1079,25.196993486984212
AIM23,1340,35.937488082255655
AIM24,722,17.500531462599138
AIM25,1766,51.54991948333424
AIM26,150,12.068559430608243
AIM29,1910,117.22490910183537
AIM3,1360,13.735412505271716
AIM32,763,23.414294671387534
AIM33,1463,44.75186349713745
AIM34,667,32.09104749365722
