gene,count,RPKM
AAC1,3624,94.65393368055682
AAC3,3820,100.4210639966201
AAD10,5614,157.28479393587182
AAD14,3151,67.67359144057646
AAD15,84,4.723119851149933
AAD16,343,18.151597859321313
AAD3,793,17.63940679102934
AAD4,1097,26.91564922967001
AAD6,760,28.889908143854722
AAH1,4309,100.25578048573922
AAP1,3418,32.29262940736217
AAR2,785,17.853847912452796
AAT1,4030,72.19028950746232
AAT2,17046,329.39775376488956
ABD1,3131,58.01146095044305
ABF1,4900,54.19973599680251
ABF2,5520,242.90330663056798
ABM1,244,15.932367424155535
ABP1,7283,99.44152794774743
ABP140,5840,75.13534484759094
ABZ1,3241,33.30159123475765
ABZ2,1966,42.44870229650637
ACA1,4316,71.31773274949194
ACB1,8014,737.3587497490046
ACC1,17619,63.8572569311247
ACE2,3143,33.00670526328903
ACF2,1925,19.98243013948049
ACF4,1541,40.2488167223339
ACH1,4270,65.60386586416985
ACK1,2423,31.43988845971508
ACM1,1119,43.14425398723898
ACN9,697,42.11532455758853
ACO1,21895,227.57243896774867
ACO2,6572,67.35698443780983
ACP1,5501,353.4949972949086
ACS1,1436,16.284273964588966
ACS2,10893,128.94472315432637
ACT1,46056,778.5076332760918
ADA2,1093,20.344315260322666
ADD37,3289,133.82059891255244
ADD66,2204,66.5869263449965
ADE1,13973,368.5220307870713
ADE12,20672,385.66030373787265
ADE13,22463,376.55879757366796
ADE16,14940,204.33420051017376
ADE17,36938,504.34864195165375
ADE2,14325,202.77330230086753
ADE3,62999,538.6365862167953
ADE4,12937,204.98630645007555
"ADE5,7",23379,235.73418039502073
ADE6,15633,93.13974472788004
ADE8,6431,242.1877775102609
ADF1,0,0.0
ADH1,84057,1950.1168333758983
ADH2,1725,40.01988576291593
ADH3,15733,338.79412439882327
ADH4,49844,1053.7225775190627
ADH5,13626,313.42807349887494
ADH6,4549,102.02836028277505
ADH7,959,21.449748716272072
ADI1,1079,48.53567923229313
ADK1,18278,663.6452374579255
ADK2,890,31.88553730106276
ADO1,11672,277.14246285356694
ADP1,4608,35.533283712814516
ADR1,1931,11.808818859607925
ADY2,355,10.120971109607
ADY3,869,8.895194836155229
ADY4,1618,26.51940284266255
AEP1,2646,41.2795214736341
AEP2,1360,18.952868446217582
AEP3,1541,20.555408869725717
AFG1,3212,50.99381835930617
AFG2,2111,21.88514213816172
AFG3,4842,51.449598018600625
AFI1,1377,12.471210038415068
AFR1,2230,29.075382382510288
AFT1,3952,46.30747070931041
AFT2,2934,56.96868918098213
AGA1,3122,34.81837113409703
AGA2,148,13.617306583834873
AGC1,2020,18.11239126591906
AGE1,1905,31.934492693666808
AGE2,2979,80.66989414185753
AGP1,10453,133.4946511151066
AGP2,2346,31.817485056131353
AGP3,725,10.50118648223982
AGX1,1650,34.61057477896694
AHA1,7704,177.7138722015096
AHC1,2795,39.91268324705688
AHC2,3210,201.47793650752538
AHP1,34177,1563.4098513583658
AHT1,167,7.388861968543689
AI1,0,0.0
AI2,0,0.0
AI3,0,0.0
AI4,0,0.0
AI5_ALPHA,0,0.0
AI5_BETA,0,0.0
AIF1,1704,36.403450703472984
AIM1,1142,77.70184206501644
AIM10,822,11.53474974294205
AIM11,576,28.61192323501169
AIM13,1025,48.53331175367099
AIM14,1204,17.072713437431634
AIM17,4365,75.84212685568164
AIM18,2256,56.72772875347427
AIM19,2147,110.02392391051255
AIM2,1051,34.45227736420067
AIM20,1514,59.79765955100487
AIM21,3291,39.18601873143134
AIM22,1325,26.166413112642488
AIM23,1761,39.9395633031214
AIM24,633,12.975341189632873
AIM25,1976,48.77814368922788
AIM26,298,20.27596229017066
AIM29,2451,127.21282148536798
AIM3,1664,14.212064072899619
AIM32,763,19.800771683667026
AIM33,1135,29.360516829147464
AIM34,726,29.538995077687165
AIM36,1148,36.30898385571511
AIM37,1649,56.81525569273853
AIM39,2043,41.77200803419616
AIM4,551,35.978419879957784
AIM41,1960,85.32087473045041
AIM43,1078,47.69576767718621
AIM44,2777,29.624175780109237
AIM45,6110,143.39509212683774
AIM46,7770,202.2892489302801
AIM5,1967,148.84448727175302
AIM6,3023,62.59988882729813
AIM7,3067,165.55209809687824
AIM9,4380,56.471150904558804
AIP1,7703,101.2491434510425
AIR1,2296,51.49639815547406
AIR2,2655,62.309978657406575
AKL1,5035,36.76038920603877
AKR1,12156,128.6593723486355
AKR2,3360,36.27356045683149
ALA1,11186,94.44269683592401
ALB1,2456,112.98684111452178
ALD2,1749,27.931484766394703
ALD3,789,12.600309594445637
ALD4,8417,131.05879050701864
ALD5,21804,338.85244387542576
ALD6,13937,225.23908080573693
ALE1,10232,133.62293728193396
ALF1,1017,32.291851352063745
ALG1,3243,58.35077210392089
ALG11,2989,44.082451944066044
ALG12,2254,33.061838958049535
ALG13,762,30.39282752914496
ALG14,1312,44.63433309514079
ALG2,1920,30.84486433404038
ALG3,1093,19.280560214031286
ALG5,1504,36.35090280322132
ALG6,4554,67.6563705440738
ALG7,1327,23.92967244979686
ALG8,2886,40.42785138038173
ALG9,3448,50.21166674233804
ALK1,7133,75.89265379745254
ALK2,1308,15.64340349939847
