gene,count,CPM,RPKM
15S_rRNA_BY4742,7,478.30543218312266,290.0578727611417
21S_rRNA_BY4742,32,2186.5391185514177,492.57470568853745
HRA1_BY4742,234,15989.067304407241,28349.41011419724
ICR1_BY4742,506,34574.64981209429,10807.955552389589
LSR1_BY4742,263,17970.618380594467,15294.143302633587
NME1_BY4742,84,5739.665186197472,16881.368194698447
PWR1_BY4742,116,7926.2043047488905,8423.171418436652
RDN18-1_BY4742,0,0.0,0.0
RDN18-2_BY4742,0,0.0,0.0
RDN25-1_BY4742,0,0.0,0.0
RDN25-2_BY4742,0,0.0,0.0
RDN37-1_BY4742,0,0.0,0.0
RDN37-2_BY4742,0,0.0,0.0
RDN5-1_BY4742,98,6696.276050563717,55341.12438482411
RDN5-2_BY4742,0,0.0,0.0
RDN5-3_BY4742,0,0.0,0.0
RDN5-4_BY4742,0,0.0,0.0
RDN5-5_BY4742,0,0.0,0.0
RDN5-6_BY4742,0,0.0,0.0
RDN58-1_BY4742,0,0.0,0.0
RDN58-2_BY4742,0,0.0,0.0
RNA170_BY4742,51,3484.796720191322,20620.098936043327
RPM1_BY4742,0,0.0,0.0
RPR1_BY4742,42,2869.832593098736,7777.32410053858
RUF20_BY4742,512,34984.62589682268,78972.0674871844
RUF21_BY4742,111,7584.557567475231,10727.804197277554
RUF22_BY4742,5,341.646737273659,663.3917228614739
RUF23_BY4742,15,1024.9402118209773,4035.1976843345556
RUF5-1_BY4742,0,0.0,0.0
RUF5-2_BY4742,0,0.0,0.0
SCR1_BY4742,198,13529.210796036898,25918.02834489827
SRG1_BY4742,2527,172668.2610181073,313372.52453377
TLC1_BY4742,1663,113631.704817219,87341.81769194388
snR10_BY4742,167,11411.001024940211,46575.514387511066
snR11_BY4742,965,65937.82029381618,255572.94687525657
snR128_BY4742,32,2186.5391185514177,17353.485067868394
snR13_BY4742,24,1639.9043389135634,13225.034991238414
snR14_BY4742,47,3211.479330372395,20071.745814827467
snR161_BY4742,24,1639.9043389135634,10185.74123548797
snR17a_BY4742,330,22548.6846600615,46017.72379604387
snR17b_BY4742,15,1024.9402118209773,2218.485306971812
snR189_BY4742,16,1093.2695592757088,5784.495022622798
snR18_BY4742,159,10864.366245302357,106513.39456178782
snR190_BY4742,14,956.6108643662453,5034.794022980239
snR191_BY4742,30,2049.8804236419546,7481.315414751658
snR19_BY4742,182,12435.94123676119,21894.26274077674
snR24_BY4742,78,5329.689101469081,59884.147207517766
snR30_BY4742,344,23505.295524427744,38787.61637694347
snR31_BY4742,308,21045.439016057397,93535.28451581065
snR32_BY4742,37,2528.1858558250765,13447.797105452537
snR33_BY4742,353,24120.25965152033,131804.69754929142
snR34_BY4742,65,4441.407584557568,21878.855096342697
snR35_BY4742,125,8541.168431841475,41868.472705105276
snR36_BY4742,76,5193.030406559617,28533.13410197592
snR37_BY4742,75,5124.701059104886,13276.427614261362
snR38_BY4742,30,2049.8804236419546,21577.688669915307
snR39B_BY4742,8,546.6347796378544,5694.112287894317
snR39_BY4742,88,6012.9825760163985,67561.60197771234
snR3_BY4742,34,2323.1978134608817,11975.246461138564
snR40_BY4742,21,1434.916296549368,14792.951510818226
snR41_BY4742,87,5944.653228561668,62575.29714275439
snR42_BY4742,110,7516.228220020499,21413.755612594014
snR43_BY4742,141,9634.437991117184,46097.789431182704
snR44_BY4742,253,17287.324906047146,81930.44979169263
snR45_BY4742,36,2459.856508370345,14301.491327734564
snR46_BY4742,166,11342.67167748548,57577.013591296854
snR47_BY4742,21,1434.916296549368,14494.104005549172
snR48_BY4742,18,1229.9282541851726,10884.320833497102
snR49_BY4742,65,4441.407584557568,26917.621724591318
snR4_BY4742,408,27878.373761530576,149883.72990070202
snR50_BY4742,10,683.293474547318,7592.149717192423
snR51_BY4742,25,1708.2336863682954,15964.800807180329
snR52_BY4742,3,204.98804236419542,2228.130895262994
snR53_BY4742,2,136.6586949094636,1501.7439001039957
snR54_BY4742,59,4031.4314998291766,46877.11046312996
snR55_BY4742,26,1776.563033823027,18128.19422268395
snR56_BY4742,13,888.2815169115134,10094.108146721745
snR57_BY4742,29,1981.5510761872226,22517.62586576389
snR58_BY4742,4,273.3173898189272,2847.0561439471585
snR59_BY4742,53,3621.4554151007856,46428.9155782152
snR5_BY4742,34,2323.1978134608817,11388.224575788634
snR60_BY4742,13,888.2815169115134,8541.168431841475
snR61_BY4742,21,1434.916296549368,15943.514406104088
snR62_BY4742,78,5329.689101469081,53296.89101469081
snR63_BY4742,72,4919.71301674069,19292.992222512512
snR64_BY4742,18,1229.9282541851726,12177.507467179927
snR65_BY4742,15,1024.9402118209773,10249.402118209771
snR66_BY4742,49,3348.1380252818585,38931.83750327743
snR67_BY4742,15,1024.9402118209773,12499.270875865575
snR68_BY4742,28,1913.2217287324906,14067.806828915373
snR69_BY4742,54,3689.784762555518,36532.522401539776
snR6_BY4742,0,0.0,0.0
snR7-L_BY4742,2,136.6586949094636,638.5920322872131
snR7-S_BY4742,0,0.0,0.0
snR70_BY4742,107,7311.240177656303,44580.732790587215
snR71_BY4742,37,2528.1858558250765,28090.953953611966
snR72_BY4742,4,273.3173898189272,2788.9529573359923
snR73_BY4742,8,546.6347796378544,5156.931883375985
snR74_BY4742,11,751.6228220020498,8541.168431841475
snR75_BY4742,22,1503.2456440040996,16890.400494428086
snR76_BY4742,27,1844.892381277759,16925.61817686017
snR77_BY4742,28,1913.2217287324906,21741.156008323756
snR78_BY4742,10,683.293474547318,7853.947983302506
snR79_BY4742,4,273.3173898189272,3253.7784502253244
snR80_BY4742,15,1024.9402118209773,5993.802408309808
snR81_BY4742,19,1298.2576016399044,6458.993042984599
snR82_BY4742,88,6012.9825760163985,22436.50214931492
snR83_BY4742,79,5398.018448923814,17640.583166417688
snR84_BY4742,181,12367.611889306458,22486.567071466285
snR85_BY4742,15,1024.9402118209773,5993.802408309808
snR86_BY4742,933,63751.28117526478,63497.29200723583
snR87_BY4742,18,1229.9282541851726,11283.745451240115
snR8_BY4742,54,3689.784762555518,19419.919802923778
snR9_BY4742,321,21933.72053296891,117292.62317095674
tA(AGC)D_BY4742,1,68.3293474547318,936.0184582839973
tA(AGC)F_BY4742,14,956.6108643662453,13104.258415975963
tA(AGC)G_BY4742,1,68.3293474547318,936.0184582839973
tA(AGC)H_BY4742,1,68.3293474547318,936.0184582839973
tA(AGC)J_BY4742,0,0.0,0.0
tA(AGC)K1_BY4742,2,136.6586949094636,1872.0369165679947
tA(AGC)K2_BY4742,1,68.3293474547318,936.0184582839973
tA(AGC)L_BY4742,1,68.3293474547318,936.0184582839973
tA(AGC)M1_BY4742,0,0.0,0.0
tA(AGC)M2_BY4742,0,0.0,0.0
tA(AGC)P_BY4742,4,273.3173898189272,3744.0738331359894
tA(UGC)A_BY4742,13,888.2815169115134,12168.239957691965
tA(UGC)E_BY4742,2,136.6586949094636,1872.0369165679947
tA(UGC)G_BY4742,1,68.3293474547318,936.0184582839973
tA(UGC)L_BY4742,0,0.0,0.0
tA(UGC)O_BY4742,7,478.30543218312266,6552.129207987981
tA(UGC)Q_BY4742,0,0.0,0.0
tC(GCA)B_BY4742,6,409.97608472839084,5694.112287894317
tC(GCA)G_BY4742,0,0.0,0.0
tC(GCA)P1_BY4742,3,204.98804236419542,2847.0561439471585
tC(GCA)P2_BY4742,0,0.0,0.0
tC(GCA)Q_BY4742,0,0.0,0.0
tD(GUC)B_BY4742,0,0.0,0.0
tD(GUC)D_BY4742,0,0.0,0.0
tD(GUC)G1_BY4742,1,68.3293474547318,949.0187146490529
tD(GUC)G2_BY4742,10,683.293474547318,9490.187146490529
tD(GUC)I1_BY4742,1,68.3293474547318,949.0187146490529
tD(GUC)I2_BY4742,0,0.0,0.0
tD(GUC)J1_BY4742,2,136.6586949094636,1898.0374292981057
tD(GUC)J2_BY4742,0,0.0,0.0
tD(GUC)J3_BY4742,0,0.0,0.0
tD(GUC)J4_BY4742,0,0.0,0.0
tD(GUC)K_BY4742,0,0.0,0.0
tD(GUC)L1_BY4742,0,0.0,0.0
tD(GUC)L2_BY4742,0,0.0,0.0
tD(GUC)M_BY4742,0,0.0,0.0
tD(GUC)N_BY4742,27,1844.892381277759,25984.399736306463
tD(GUC)O_BY4742,1,68.3293474547318,949.0187146490529
tD(GUC)Q_BY4742,0,0.0,0.0
tE(CUC)D_BY4742,0,0.0,0.0
tE(CUC)I_BY4742,0,0.0,0.0
tE(UUC)B_BY4742,0,0.0,0.0
tE(UUC)C_BY4742,0,0.0,0.0
tE(UUC)E1_BY4742,5,341.646737273659,4745.093573245264
tE(UUC)E2_BY4742,0,0.0,0.0
tE(UUC)E3_BY4742,0,0.0,0.0
tE(UUC)G1_BY4742,2,136.6586949094636,1898.0374292981057
tE(UUC)G2_BY4742,1,68.3293474547318,949.0187146490529
tE(UUC)G3_BY4742,4,273.3173898189272,3796.0748585962115
tE(UUC)I_BY4742,0,0.0,0.0
tE(UUC)J_BY4742,0,0.0,0.0
tE(UUC)K_BY4742,2,136.6586949094636,1898.0374292981057
tE(UUC)L_BY4742,1,68.3293474547318,949.0187146490529
tE(UUC)M_BY4742,0,0.0,0.0
tE(UUC)P_BY4742,1,68.3293474547318,949.0187146490529
tE(UUC)Q_BY4742,0,0.0,0.0
tF(GAA)B_BY4742,0,0.0,0.0
tF(GAA)D_BY4742,32,2186.5391185514177,23766.729549471933
tF(GAA)F_BY4742,0,0.0,0.0
tF(GAA)G_BY4742,1,68.3293474547318,742.7102984209979
tF(GAA)H1_BY4742,2,136.6586949094636,1485.4205968419958
tF(GAA)H2_BY4742,2,136.6586949094636,1485.4205968419958
tF(GAA)M_BY4742,7,478.30543218312266,5256.103650363985
tF(GAA)N_BY4742,0,0.0,0.0
tF(GAA)P1_BY4742,1,68.3293474547318,742.7102984209979
tF(GAA)P2_BY4742,0,0.0,0.0
tF(GAA)Q_BY4742,0,0.0,0.0
tG(CCC)D_BY4742,1,68.3293474547318,949.0187146490529
tG(CCC)O_BY4742,6,409.97608472839084,5694.112287894317
tG(GCC)B_BY4742,0,0.0,0.0
tG(GCC)C_BY4742,1,68.3293474547318,962.3851754187579
tG(GCC)D1_BY4742,0,0.0,0.0
tG(GCC)D2_BY4742,15,1024.9402118209773,14435.777631281368
tG(GCC)E_BY4742,1,68.3293474547318,962.3851754187579
tG(GCC)F1_BY4742,0,0.0,0.0
tG(GCC)F2_BY4742,1,68.3293474547318,962.3851754187579
tG(GCC)G1_BY4742,1,68.3293474547318,962.3851754187579
tG(GCC)G2_BY4742,2,136.6586949094636,1924.7703508375157
tG(GCC)J1_BY4742,0,0.0,0.0
tG(GCC)J2_BY4742,0,0.0,0.0
tG(GCC)M_BY4742,0,0.0,0.0
tG(GCC)O1_BY4742,0,0.0,0.0
tG(GCC)O2_BY4742,0,0.0,0.0
tG(GCC)P1_BY4742,6,409.97608472839084,5774.311052512547
tG(GCC)P2_BY4742,2,136.6586949094636,1924.7703508375157
tG(UCC)G_BY4742,0,0.0,0.0
tG(UCC)N_BY4742,2,136.6586949094636,1898.0374292981057
tG(UCC)O_BY4742,1,68.3293474547318,949.0187146490529
tG(UCC)Q_BY4742,0,0.0,0.0
tH(GUG)E1_BY4742,4,273.3173898189272,3796.0748585962115
tH(GUG)E2_BY4742,5,341.646737273659,4745.093573245264
tH(GUG)G1_BY4742,0,0.0,0.0
tH(GUG)G2_BY4742,1,68.3293474547318,949.0187146490529
tH(GUG)H_BY4742,0,0.0,0.0
tH(GUG)K_BY4742,2,136.6586949094636,1898.0374292981057
tH(GUG)M_BY4742,9,614.9641270925863,8541.168431841475
tH(GUG)Q_BY4742,0,0.0,0.0
tI(AAU)B_BY4742,0,0.0,0.0
tI(AAU)D_BY4742,0,0.0,0.0
tI(AAU)E1_BY4742,0,0.0,0.0
tI(AAU)E2_BY4742,0,0.0,0.0
tI(AAU)G_BY4742,2,136.6586949094636,1846.739120398157
tI(AAU)I1_BY4742,0,0.0,0.0
tI(AAU)I2_BY4742,2,136.6586949094636,1846.739120398157
tI(AAU)L1_BY4742,1,68.3293474547318,923.3695601990785
tI(AAU)L2_BY4742,0,0.0,0.0
tI(AAU)N1_BY4742,2,136.6586949094636,1846.739120398157
tI(AAU)N2_BY4742,1,68.3293474547318,923.3695601990785
tI(AAU)P1_BY4742,0,0.0,0.0
tI(AAU)P2_BY4742,0,0.0,0.0
tI(GAU)Q_BY4742,0,0.0,0.0
tI(UAU)D_BY4742,2,136.6586949094636,1027.5089842816813
tI(UAU)L_BY4742,0,0.0,0.0
tK(CUU)D1_BY4742,0,0.0,0.0
tK(CUU)D2_BY4742,0,0.0,0.0
tK(CUU)E1_BY4742,1,68.3293474547318,936.0184582839973
tK(CUU)E2_BY4742,0,0.0,0.0
tK(CUU)F_BY4742,1,68.3293474547318,936.0184582839973
tK(CUU)G1_BY4742,0,0.0,0.0
tK(CUU)G2_BY4742,0,0.0,0.0
tK(CUU)G3_BY4742,0,0.0,0.0
tK(CUU)I_BY4742,0,0.0,0.0
tK(CUU)J_BY4742,0,0.0,0.0
tK(CUU)K_BY4742,2,136.6586949094636,1872.0369165679947
tK(CUU)M_BY4742,2,136.6586949094636,1872.0369165679947
tK(CUU)P_BY4742,2,136.6586949094636,1872.0369165679947
tK(UUU)D_BY4742,5,341.646737273659,3558.820179933948
tK(UUU)G1_BY4742,1,68.3293474547318,711.7640359867896
tK(UUU)G2_BY4742,0,0.0,0.0
tK(UUU)K_BY4742,0,0.0,0.0
tK(UUU)L_BY4742,0,0.0,0.0
tK(UUU)O_BY4742,0,0.0,0.0
tK(UUU)P_BY4742,0,0.0,0.0
tK(UUU)Q_BY4742,0,0.0,0.0
tL(CAA)A_BY4742,0,0.0,0.0
tL(CAA)C_BY4742,0,0.0,0.0
tL(CAA)D_BY4742,0,0.0,0.0
tL(CAA)G1_BY4742,2,136.6586949094636,1198.7604816619614
tL(CAA)G2_BY4742,0,0.0,0.0
tL(CAA)G3_BY4742,0,0.0,0.0
tL(CAA)K_BY4742,0,0.0,0.0
tL(CAA)L_BY4742,6,409.97608472839084,3565.00943242079
tL(CAA)M_BY4742,0,0.0,0.0
tL(CAA)N_BY4742,1,68.3293474547318,599.3802408309807
tL(GAG)G_BY4742,9,614.9641270925863,7499.5625255193445
tL(UAA)B1_BY4742,7,478.30543218312266,5694.112287894317
tL(UAA)B2_BY4742,1,68.3293474547318,813.4446125563311
tL(UAA)D_BY4742,3,204.98804236419542,2440.333837668993
tL(UAA)J_BY4742,0,0.0,0.0
tL(UAA)K_BY4742,0,0.0,0.0
tL(UAA)L_BY4742,4,273.3173898189272,3253.7784502253244
tL(UAA)N_BY4742,0,0.0,0.0
tL(UAA)Q_BY4742,0,0.0,0.0
tL(UAG)J_BY4742,1,68.3293474547318,676.528192621107
tL(UAG)L1_BY4742,7,478.30543218312266,4735.697348347749
tL(UAG)L2_BY4742,0,0.0,0.0
tM(CAU)D_BY4742,0,0.0,0.0
tM(CAU)E_BY4742,6,409.97608472839084,5694.112287894317
tM(CAU)J1_BY4742,2,136.6586949094636,1872.0369165679947
tM(CAU)J2_BY4742,2,136.6586949094636,1872.0369165679947
tM(CAU)J3_BY4742,0,0.0,0.0
tM(CAU)M_BY4742,1,68.3293474547318,936.0184582839973
tM(CAU)O1_BY4742,4,273.3173898189272,3796.0748585962115
tM(CAU)O2_BY4742,9,614.9641270925863,8424.166124555977
tM(CAU)P_BY4742,3,204.98804236419542,2847.0561439471585
tM(CAU)Q1_BY4742,0,0.0,0.0
tM(CAU)Q2_BY4742,0,0.0,0.0
tN(GUU)C_BY4742,0,0.0,0.0
tN(GUU)F_BY4742,1,68.3293474547318,923.3695601990785
tN(GUU)G_BY4742,3,204.98804236419542,2770.1086805972354
tN(GUU)K_BY4742,4,273.3173898189272,3693.478240796314
tN(GUU)L_BY4742,0,0.0,0.0
tN(GUU)N1_BY4742,4,273.3173898189272,3693.478240796314
tN(GUU)N2_BY4742,0,0.0,0.0
tN(GUU)O1_BY4742,0,0.0,0.0
tN(GUU)O2_BY4742,0,0.0,0.0
tN(GUU)P_BY4742,24,1639.9043389135634,22160.869444777883
tN(GUU)Q_BY4742,0,0.0,0.0
tP(AGG)C_BY4742,61,4168.09019473864,57890.14159359223
tP(AGG)N_BY4742,0,0.0,0.0
tP(UGG)A_BY4742,1,68.3293474547318,663.3917228614739
tP(UGG)F_BY4742,0,0.0,0.0
tP(UGG)H_BY4742,0,0.0,0.0
tP(UGG)L_BY4742,1,68.3293474547318,663.3917228614739
tP(UGG)M_BY4742,15,1024.9402118209773,9950.875842922107
tP(UGG)N1_BY4742,16,1093.2695592757088,10614.267565783583
tP(UGG)N2_BY4742,6,409.97608472839084,3980.350337168843
tP(UGG)O1_BY4742,7,478.30543218312266,4689.268942971791
tP(UGG)O2_BY4742,0,0.0,0.0
tP(UGG)O3_BY4742,1,68.3293474547318,650.7556900450649
tP(UGG)Q_BY4742,0,0.0,0.0
tQ(CUG)M_BY4742,1,68.3293474547318,949.0187146490529
tQ(UUG)B_BY4742,1,68.3293474547318,949.0187146490529
tQ(UUG)C_BY4742,3,204.98804236419542,2847.0561439471585
