"Gene","Source","Df","Sum_Sq","Mean_Sq","F_value","P_value"
"AAC1","Between_Groups",1,5216.79297917406,5216.79297917406,153.07578527416,0.000245277083617946
"AAC1","Within_Groups",4,136.319221745771,34.0798054364427,NA,NA
"AAC1","Between_Groups",1,5216.79297917406,5216.79297917406,153.07578527416,0.000245277083617946
"AAC1","Within_Groups",4,136.319221745771,34.0798054364427,NA,NA
"AAC1","Between_Groups",1,5216.79297917406,5216.79297917406,153.07578527416,0.000245277083617946
"AAC1","Within_Groups",4,136.319221745771,34.0798054364427,NA,NA
"AAC1","Between_Groups",1,5216.79297917406,5216.79297917406,153.07578527416,0.000245277083617946
"AAC1","Within_Groups",4,136.319221745771,34.0798054364427,NA,NA
"AAC3","Between_Groups",1,4538.55079610986,4538.55079610986,72.2891548097686,0.00104949011733619
"AAC3","Within_Groups",4,251.133150362773,62.7832875906934,NA,NA
"AAD10","Between_Groups",1,494.040594182025,494.040594182025,0.9515654336516,0.384556541368798
"AAD10","Within_Groups",4,2076.74880448803,519.187201122009,NA,NA
"AAD14","Between_Groups",1,2954.04541167762,2954.04541167762,775.82493808301,9.8832794221046e-06
"AAD14","Within_Groups",4,15.2304741272009,3.80761853180022,NA,NA
"AAD15","Between_Groups",1,3.12556243421154,3.12556243421154,5.02007990694777,0.0885675615713294
"AAD15","Within_Groups",4,2.49044835313141,0.622612088282852,NA,NA
"AAD16","Between_Groups",1,4.30657951930995,4.30657951930995,0.235748297744892,0.652689716805897
"AAD16","Within_Groups",4,73.0708057789701,18.2677014447425,NA,NA
"AAD3","Between_Groups",1,69.6266517668972,69.6266517668972,71.9330473309416,0.001059447520871
"AAD3","Within_Groups",4,3.871747651483,0.967936912870751,NA,NA
"AAD4","Between_Groups",1,0.0623862568878291,0.0623862568878291,0.0052580727962101,0.945675064882395
"AAD4","Within_Groups",4,47.4594090312296,11.8648522578074,NA,NA
"AAD6","Between_Groups",1,3.02110253273807,3.02110253273807,3.22487059753808,0.146956221994078
"AAD6","Within_Groups",4,3.74725427438166,0.936813568595415,NA,NA
"AAH1","Between_Groups",1,2877.76760046155,2877.76760046155,15.8105912966562,0.0164525010930715
"AAH1","Within_Groups",4,728.060714862745,182.015178715686,NA,NA
"AAP1","Between_Groups",1,51.3439232425853,51.3439232425853,33.4074599149542,0.00445053889450264
"AAP1","Within_Groups",4,6.14759977242115,1.53689994310529,NA,NA
"AAR2","Between_Groups",1,43.7447998052216,43.7447998052216,133.729566628898,0.000319411357152562
"AAR2","Within_Groups",4,1.30845559162289,0.327113897905722,NA,NA
"AAT1","Between_Groups",1,1718.90562579804,1718.90562579804,823.794731406117,8.77014545972947e-06
"AAT1","Within_Groups",4,8.34628122888856,2.08657030722214,NA,NA
"AAT2","Between_Groups",1,18649.6404442835,18649.6404442835,1171.14115316263,4.34975305674196e-06
"AAT2","Within_Groups",4,63.697327666851,15.9243319167128,NA,NA
"ABD1","Between_Groups",1,167.682400016359,167.682400016359,42.7263929302576,0.00283048488719224
"ABD1","Within_Groups",4,15.6982500526143,3.92456251315357,NA,NA
"ABF1","Between_Groups",1,13.2396218783498,13.2396218783498,8.59613607191058,0.0427320275409556
"ABF1","Within_Groups",4,6.16073164388948,1.54018291097237,NA,NA
"ABF2","Between_Groups",1,35271.3168769745,35271.3168769745,450.809331334142,2.90917711997129e-05
"ABF2","Within_Groups",4,312.959953802121,78.2399884505301,NA,NA
"ABM1","Between_Groups",1,37.8354279993988,37.8354279993988,11.6060386953213,0.0271079826158259
"ABM1","Within_Groups",4,13.0399110299886,3.25997775749716,NA,NA
