"Condition","Mean","SD","SEM","n","Gene"
"B",97.0946011206809,2.21881102950802,1.28103114516737,3,"AAC1"
"D",156.06800178671,7.95213735345528,4.59116864165029,3,"AAC1"
"B",97.0946011206809,2.21881102950802,1.28103114516737,3,"AAC1"
"D",156.06800178671,7.95213735345528,4.59116864165029,3,"AAC1"
"B",97.0946011206809,2.21881102950802,1.28103114516737,3,"AAC1"
"D",156.06800178671,7.95213735345528,4.59116864165029,3,"AAC1"
"B",97.0946011206809,2.21881102950802,1.28103114516737,3,"AAC1"
"D",156.06800178671,7.95213735345528,4.59116864165029,3,"AAC1"
"B",97.0946011206809,2.21881102950802,1.28103114516737,3,"AAC1"
"D",156.06800178671,7.95213735345528,4.59116864165029,3,"AAC1"
"B",97.0946011206809,2.21881102950802,1.28103114516737,3,"AAC1"
"D",156.06800178671,7.95213735345528,4.59116864165029,3,"AAC1"
"B",97.0946011206809,2.21881102950802,1.28103114516737,3,"AAC1"
"D",156.06800178671,7.95213735345528,4.59116864165029,3,"AAC1"
"B",100.274866247518,10.0504587726346,5.8026350778598,3,"AAC3"
"D",45.2684981549065,4.95528542477222,2.86093537390367,3,"AAC3"
"B",153.497600657346,3.43115632275108,1.98097902657202,3,"AAD10"
"D",171.645889726053,32.0406237225941,18.4986627312432,3,"AAD10"
"B",67.8009009419032,1.3682695443001,0.789970789725627,3,"AAD14"
"D",23.4233885309412,2.39647147234038,1.38360344966098,3,"AAD14"
"B",5.2081252971698,0.836409875663783,0.482901466867347,3,"AAD15"
"D",6.65163085291746,0.738676313724625,0.426474968572913,3,"AAD15"
"B",17.4127127726185,3.51999245933596,2.03226859394307,3,"AAD16"
"D",19.1071309656492,4.91376189652114,2.83696175369021,3,"AAD16"
"B",17.3223643832727,0.822574864635238,0.474913819525775,3,"AAD3"
"D",10.5093057570316,1.12216060250386,0.647879725929596,3,"AAD3"
"B",27.9285496684885,3.81046217092603,2.19997136012103,3,"AAD4"
"D",28.1324879874117,3.03481178321762,1.75214939998054,3,"AAD4"
"B",29.1593052935024,0.355670737796433,0.205346596209644,3,"AAD6"
"D",27.7401265326838,1.32178873632142,0.763135082726986,3,"AAD6"
"B",95.3700567366285,16.1964868391917,9.35104603653357,3,"AAH1"
"D",139.170875606155,10.0848486106269,5.82249006008206,3,"AAH1"
"B",31.9102809967763,0.68297451256572,0.394315518679472,3,"AAP1"
"D",26.0597013535509,1.61472774838243,0.932263500196552,3,"AAP1"
"B",18.50040567515,0.702298157183002,0.405472030100984,3,"AAR2"
"D",13.1001093990048,0.401254400884027,0.231664336363915,3,"AAR2"
"B",73.0307924680542,1.97344000486606,1.13936611803899,3,"AAT1"
"D",39.1790999865053,0.527896923308535,0.304781430776558,3,"AAT1"
