"gene","Sample","Value","Strain","Replicate","Condition"
"AAC1","JCYL001B",98.9898268467002,"JCYL","001","B"
"AAC1","JCYL002B",94.6539336805568,"JCYL","002","B"
"AAC1","JCYL003B",97.6400428347857,"JCYL","003","B"
"AAC1","JCYL001D",152.292764736072,"JCYL","001","D"
"AAC1","JCYL002D",165.204563503753,"JCYL","002","D"
"AAC1","JCYL003D",150.706677120306,"JCYL","003","D"
"AAC3","JCYL001B",90.152106124744,"JCYL","001","B"
"AAC3","JCYL002B",100.42106399662,"JCYL","002","B"
"AAC3","JCYL003B",110.251428621191,"JCYL","003","B"
"AAC3","JCYL001D",49.3119521260948,"JCYL","001","D"
"AAC3","JCYL002D",46.7528678063321,"JCYL","002","D"
"AAC3","JCYL003D",39.7406745322926,"JCYL","003","D"
"AAD10","JCYL001B",150.596180117558,"JCYL","001","B"
"AAD10","JCYL002B",157.284793935872,"JCYL","002","B"
"AAD10","JCYL003B",152.611827918607,"JCYL","003","B"
"AAD10","JCYL001D",145.238898218989,"JCYL","001","D"
"AAD10","JCYL002D",207.290523333808,"JCYL","002","D"
"AAD10","JCYL003D",162.408247625361,"JCYL","003","D"
"AAD14","JCYL001B",66.5007354096798,"JCYL","001","B"
"AAD14","JCYL002B",67.6735914405765,"JCYL","002","B"
"AAD14","JCYL003B",69.2283759754532,"JCYL","003","B"
"AAD14","JCYL001D",21.7305242898919,"JCYL","001","D"
"AAD14","JCYL002D",22.3741061387363,"JCYL","002","D"
"AAD14","JCYL003D",26.1655351641955,"JCYL","003","D"
"AAD15","JCYL001B",4.72733086955199,"JCYL","001","B"
"AAD15","JCYL002B",4.72311985114993,"JCYL","002","B"
"AAD15","JCYL003B",6.17392517080747,"JCYL","003","B"
"AAD15","JCYL001D",5.85650057200006,"JCYL","001","D"
"AAD15","JCYL002D",6.78185992447791,"JCYL","002","D"
"AAD15","JCYL003D",7.3165320622744,"JCYL","003","D"
"AAD16","JCYL001B",13.5819289379079,"JCYL","001","B"
"AAD16","JCYL002B",18.1515978593213,"JCYL","002","B"
