gene_id,length_bp
15S_rRNA_BY4742,1649
21S_rRNA_BY4742,4439
CEN10_BY4742,119
CEN11_BY4742,118
CEN12_BY4742,120
CEN13_BY4742,119
CEN14_BY4742,118
CEN15_BY4742,119
CEN16_BY4742,117
CEN1_BY4742,118
CEN2_BY4742,117
CEN3_BY4742,117
CEN4_BY4742,111
CEN5_BY4742,118
CEN6_BY4742,118
CEN7_BY4742,119
CEN8_BY4742,118
CEN9_BY4742,117
ETS1-1_BY4742,700
ETS1-2_BY4742,700
ETS2-1_BY4742,211
ETS2-2_BY4742,211
HRA1_BY4742,564
ICR1_BY4742,3199
ITS1-1_BY4742,361
ITS1-2_BY4742,361
ITS2-1_BY4742,232
ITS2-2_BY4742,232
LSR1_BY4742,1175
NME1_BY4742,340
PWR1_BY4742,941
Q0010_BY4742,387
Q0017_BY4742,162
Q0032_BY4742,291
Q0045_BY4742,12883
Q0045_mRNA,12883
Q0050_BY4742,2505
Q0055_BY4742,5013
Q0055_mRNA,5013
Q0060_BY4742,6179
Q0060_mRNA,6179
Q0065_BY4742,8117
Q0065_mRNA,8117
Q0070_BY4742,9349
Q0070_mRNA,9349
Q0075_BY4742,1100
Q0075_mRNA,1100
Q0080_BY4742,147
Q0085_BY4742,780
Q0092_BY4742,141
Q0105_BY4742,7109
Q0105_mRNA,7109
Q0110_BY4742,2040
Q0110_mRNA,2040
Q0115_BY4742,3726
Q0115_mRNA,3726
Q0120_BY4742,5712
Q0120_mRNA,5712
Q0130_BY4742,231
Q0140_BY4742,1197
Q0142_BY4742,177
Q0143_BY4742,153
Q0144_BY4742,330
Q0160_BY4742,708
Q0182_BY4742,404
Q0250_BY4742,756
Q0255_BY4742,1490
Q0255_mRNA,1490
Q0275_BY4742,810
Q0297_BY4742,156
RDN18-1_BY4742,1800
RDN18-2_BY4742,1800
RDN25-1_BY4742,3396
RDN25-2_BY4742,3396
RDN37-1_BY4742,6858
RDN37-2_BY4742,6858
RDN5-1_BY4742,121
RDN5-2_BY4742,119
RDN5-3_BY4742,119
RDN5-4_BY4742,119
RDN5-5_BY4742,119
RDN5-6_BY4742,121
RDN58-1_BY4742,158
RDN58-2_BY4742,158
RNA170_BY4742,169
RPM1_BY4742,483
RPR1_BY4742,369
RUF20_BY4742,443
RUF21_BY4742,707
RUF22_BY4742,515
RUF23_BY4742,254
RUF5-1_BY4742,710
RUF5-2_BY4742,710
SCR1_BY4742,522
SRG1_BY4742,551
TLC1_BY4742,1301
YAL001C_BY4742,3573
YAL001C_mRNA,3573
YAL002W_BY4742,3825
YAL003W_BY4742,987
YAL003W_mRNA,987
YAL004W_BY4742,648
YAL005C_BY4742,1929
YAL007C_BY4742,648
YAL008W_BY4742,597
YAL009W_BY4742,780
YAL010C_BY4742,1482
YAL011W_BY4742,1878
YAL012W_BY4742,1185
YAL013W_BY4742,1218
YAL014C_BY4742,768
YAL015C_BY4742,1200
YAL016C-A_BY4742,315
YAL016C-B_BY4742,186
YAL016W_BY4742,1908
YAL017W_BY4742,4071
YAL018C_BY4742,978
YAL019W-A_BY4742,570
YAL019W_BY4742,3396
YAL020C_BY4742,1002
YAL021C_BY4742,2514
YAL022C_BY4742,1554
YAL023C_BY4742,2280
YAL024C_BY4742,4308
YAL025C_BY4742,921
YAL026C-A_BY4742,438
YAL026C_BY4742,4068
YAL027W_BY4742,786
YAL028W_BY4742,1587
YAL029C_BY4742,4416
YAL030W_BY4742,467
YAL030W_mRNA,467
YAL031C_BY4742,2283
YAL031W-A_BY4742,309
YAL032C_BY4742,1140
YAL033W_BY4742,522
YAL034C-B_BY4742,354
YAL034C_BY4742,1242
YAL034W-A_BY4742,870
YAL035W_BY4742,3009
YAL036C_BY4742,1110
YAL037C-A_BY4742,93
YAL037C-B_BY4742,975
YAL037W_BY4742,804
YAL038W_BY4742,1503
YAL039C_BY4742,810
YAL040C_BY4742,1743
YAL041W_BY4742,2565
YAL042C-A_BY4742,378
YAL042W_BY4742,1248
YAL043C_BY4742,2358
YAL044C_BY4742,513
YAL044W-A_BY4742,333
YAL045C_BY4742,309
YAL046C_BY4742,357
YAL047C_BY4742,1869
YAL047W-A_BY4742,330
YAL048C_BY4742,1989
YAL049C_BY4742,741
YAL051W_BY4742,3144
YAL053W_BY4742,2352
YAL054C_BY4742,2142
YAL055W_BY4742,543
YAL056C-A_BY4742,351
YAL056W_BY4742,2643
YAL058W_BY4742,1509
YAL059C-A_BY4742,423
YAL059W_BY4742,639
YAL060W_BY4742,1149
YAL061W_BY4742,1254
YAL062W_BY4742,1374
YAL063C-A_BY4742,291
YAL063C_BY4742,3969
YAL064C-A_BY4742,381
YAL064W-B_BY4742,381
YAL064W_BY4742,285
YAL065C_BY4742,387
YAL066W_BY4742,309
YAL067C_BY4742,1782
YAL067W-A_BY4742,228
YAL068C_BY4742,363
YAL068W-A_BY4742,255
YAL069W_BY4742,315
